task,subject_id,session,condition,accuracy,mean_rt
NF,7200,1,inc,98.61111111111111,664.1805555555555
NF,7181,1,con,100.0,625.5694444444445
NF,7181,1,inc,98.61111111111111,636.625
NF,7215,1,con,87.5,582.2083333333334
NF,7215,1,inc,94.44444444444444,553.875
NF,7055,1,con,90.27777777777779,718.9305555555555
NF,7055,1,inc,100.0,739.5972222222222
NF,7208,1,con,97.22222222222221,777.5694444444445
NF,7208,1,inc,98.61111111111111,822.8333333333334
NF,7214,1,con,98.61111111111111,476.7638888888889
NF,7214,1,inc,97.22222222222221,539.4722222222222
NF,7219,1,con,93.75,616.7
NF,7219,1,inc,87.5,681.0125
NF,7199,1,con,98.61111111111111,658.25
NF,7199,1,inc,97.22222222222221,625.9861111111111
NF,7171,1,con,98.61111111111111,606.8888888888889
NF,7171,1,inc,100.0,596.5833333333334
NF,7223,1,con,97.22222222222221,689.5555555555555
NF,7223,1,inc,95.83333333333334,692.8333333333334
NF,7700,1,con,98.61111111111111,698.1111111111111
NF,7700,1,inc,95.83333333333334,712.5833333333334
NF,7701,1,con,98.75,570.625
NF,7701,1,inc,92.5,587.25
NF,7703,1,con,85.0,580.975
NF,7703,1,inc,90.0,569.4375
NF,7231,1,con,93.05555555555556,555.9027777777778
NF,7231,1,inc,95.83333333333334,658.625
NF,7238,1,con,100.0,611.5833333333334
NF,7238,1,inc,100.0,623.1805555555555
NF,7233,1,con,97.22222222222221,689.1666666666666
NF,7233,1,inc,95.83333333333334,706.4861111111111
NF,7177,1,con,94.44444444444444,838.125
NF,7177,1,inc,94.44444444444444,849.9027777777778
NF,7192,1,con,97.22222222222221,620.2361111111111
NF,7192,1,inc,100.0,583.3194444444445
NF,7191,1,con,92.5,525.1
NF,7191,1,inc,95.0,499.8125
NF,7183,1,con,91.66666666666666,508.93055555555554
NF,7183,1,inc,94.44444444444444,567.0416666666666
NF,7190,1,con,95.83333333333334,450.47222222222223
NF,7190,1,inc,93.05555555555556,554.6111111111111
NF,7194,1,con,95.83333333333334,672.1666666666666
NF,7194,1,inc,98.61111111111111,628.2916666666666
NF,7203,1,con,98.61111111111111,652.8472222222222
NF,7203,1,inc,98.61111111111111,693.2638888888889
NF,7206,1,con,97.22222222222221,552.9027777777778
NF,7206,1,inc,98.61111111111111,623.1527777777778
NF,7207,1,con,83.33333333333334,788.4166666666666
NF,7207,1,inc,76.38888888888889,855.9305555555555
NF,7216,1,con,97.22222222222221,528.7222222222222
NF,7216,1,inc,90.27777777777779,585.4166666666666
NF,7212,1,con,100.0,809.5138888888889
NF,7212,1,inc,95.83333333333334,795.5694444444445
NF,7195,1,con,95.83333333333334,542.5694444444445
NF,7195,1,inc,94.44444444444444,583.7083333333334
NF,7213,1,con,97.22222222222221,579.0138888888889
NF,7213,1,inc,95.83333333333334,609.8194444444445
NF,7225,1,con,98.61111111111111,595.0972222222222
NF,7225,1,inc,95.83333333333334,640.3611111111111
NF,7220,1,con,91.66666666666666,698.8055555555555
NF,7220,1,inc,94.44444444444444,879.0
NF,7702,1,con,97.22222222222221,672.1666666666666
NF,7702,1,inc,97.22222222222221,682.8472222222222
NF,7222,1,con,100.0,756.4166666666666
